Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C17, C18, C2, C21, C22, C25, C26, C5, C6",0603,12,10uF,
"C10, C9",0805,2,1uF,
C11,1206,1,10uF,
C12,0805,1,22uF,
"C15, C16, C19, C20, C23, C24, C27, C28, C3, C4, C7, C8",0603,12,0.1uF,
D1,SOT-23,1,PESD12VL2BT,
D2,D_SOD-128,1,D_Schottky,
D3,1206,1,GREEN,
J1,Stack_Shape,1,Stack_Shape,
J10,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J11,AMPHENOL_10118194-0011LF,1,10118194-0011LF,
"J2, J5, J6, J7, J8, J9",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03_Pin,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Probe_points,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,MMBT4403LT3G,
"R1, R39, R41, R43, R45, R47",0603,6,100kΩ,
"R13, R14, R17, R18, R23, R24, R27, R28, R31, R32, R35, R36",0603,12,100Ω,
"R15, R19, R25, R29, R33, R37",0603,6,20kΩ,
"R16, R20, R26, R30, R34, R38",0603,6,8.2kΩ,
R21,0805,1,10k,
R22,0805,1,300,
"R4, R40, R42, R44, R46, R48",0603,6,2kΩ,
"SW1, SW2",SW_1825910-6-4,2,1825910-6,
"U1, U2, U3, U4, U5, U6",SOP-16_3.9x9.9mm_P1.27mm,6,HX711,
U10,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R2,
U9,TO-252-2,1,AZ1084-3.3,
